   22  983    0
    .1952163E-01   -.7003574E+01   -.4229759E+01   -.1472542E+01
   -.2497364E-02    .6691150E+01   -.2415530E+01    .5530220E+01
    .1118644E-02    .8505287E+01   -.2415530E+01    .5044124E+01
   -.9334595E-02    .5784082E+01   -.3986619E+01    .5044124E+01
   -.2390015E-02    .7598219E+01   -.3986619E+01    .5044124E+01
    .2910276E-02    .9833328E+01   -.2415530E+01    .3716083E+01
   -.2876426E-01    .4149076E+01   -.4262455E+01    .3716083E+01
   -.1763628E-01    .5720164E+01   -.5403918E+01    .3716083E+01
   -.5501604E-02    .7662137E+01   -.5403918E+01    .3716083E+01
    .7373736E-03    .9233225E+01   -.4262455E+01    .3716083E+01
    .2991158E-02    .1031942E+02   -.2415530E+01    .1901946E+01
   -.1943919E-01    .6691150E+01   -.6043804E+01    .1901946E+01
   -.5510462E-02    .8505287E+01   -.5557707E+01    .1901946E+01
    .5095995E-03    .9833328E+01   -.4229667E+01    .1901946E+01
   -.1564603E-01    .7662137E+01   -.5403918E+01    .8780939E-01
   -.3457776E-02    .9233225E+01   -.4262455E+01    .8780939E-01
   -.1294935E-01    .7598219E+01   -.3986619E+01   -.1240231E+01
   -.7958659E-02    .4875488E+01   -.2341285E+01    .5441229E+01
    .3812413E-02    .9405267E+01   -.6371101E+00    .4182767E+01
    .7247365E-02    .8842373E+01    .1279934E+01    .4182767E+01
   -.2313171E-01    .3537341E+01   -.3316902E+01    .4182767E+01
    .4963178E-02    .1028103E+02   -.6371101E+00    .2364236E+01
   -.1457002E-01    .7332403E+01   -.3862550E+01   -.1472713E+01
   -.6851933E-03    .8842373E+01   -.2554154E+01   -.1472713E+01
    .7351832E-02    .1031153E+02    .3873112E+00    .1975841E+01
    .1088864E-01    .9711427E+01    .2234237E+01    .1975841E+01
    .1535385E-01    .8140339E+01    .3375699E+01    .1975841E+01
    .8989933E-02    .1079763E+02    .3873112E+00    .1617036E+00
    .1283315E-01    .1031153E+02    .2201448E+01    .1617036E+00
    .1707247E-01    .8983489E+01    .3529489E+01    .1617036E+00
    .4572336E-02    .1031153E+02   -.1426826E+01    .1617036E+00
    .1021396E-01    .1031153E+02    .3873112E+00   -.1652433E+01
    .1456456E-01    .9711427E+01    .2234237E+01   -.1652433E+01
    .1919825E-01    .8140339E+01    .3375699E+01   -.1652433E+01
    .4604952E-02    .9711427E+01   -.1459614E+01   -.1652433E+01
    .1023132E-01    .8983489E+01    .3873112E+00   -.2980474E+01
    .1417975E-01    .8076421E+01    .1958400E+01   -.2980474E+01
    .1233958E-01    .6262284E+01    .1958400E+01   -.2980474E+01
    .4603787E-02    .8076421E+01   -.1183777E+01   -.2980474E+01
    .8875811E-02    .7169353E+01    .3873112E+00   -.3466570E+01
    .1969518E-02    .5483641E+01    .4791921E+00    .6657535E+01
    .4504204E-02    .7297778E+01    .4791921E+00    .6171438E+01
    .6748251E-02    .6390710E+01    .2050281E+01    .6171438E+01
    .3071171E-02    .4576573E+01    .2050281E+01    .6171438E+01
   -.4318200E-02    .3669504E+01    .4791921E+00    .6171438E+01
   -.4562890E-02    .4576573E+01   -.1091897E+01    .6171438E+01
   -.1308161E-03    .6390710E+01   -.1091897E+01    .6171438E+01
    .5506472E-02    .8625819E+01    .4791921E+00    .4843398E+01
    .8685359E-02    .8025716E+01    .2326118E+01    .4843398E+01
    .1027104E-01    .6454628E+01    .3467580E+01    .4843398E+01
    .7153663E-02    .4512655E+01    .3467580E+01    .4843398E+01
   -.4163575E-02    .2941566E+01    .2326118E+01    .4843398E+01
   -.1632541E-01    .2341464E+01    .4791921E+00    .4843398E+01
   -.1358217E-01    .2941566E+01   -.1367733E+01    .4843398E+01
    .1415890E-01    .7297778E+01    .3621369E+01    .3029261E+01
   -.3225873E-01    .1464762E+01   -.1223653E+01    .4043909E+01
   -.2902266E-01    .2448668E+01   -.2927828E+01    .4043909E+01
   -.1474095E-01    .6415552E+01   -.3140697E+01   -.2870033E+01
   -.4360995E-02    .5400385E+01   -.1223653E+01   -.4128496E+01
   -.3255248E-01    .2709116E+01   -.3391558E+01    .3878932E+01
   -.4515402E-01    .8724920E+00   -.3391558E+01    .3459735E+01
   -.4707268E-01    .1790804E+01   -.4982121E+01    .3459735E+01
   -.4031275E-01    .3627428E+01   -.4982121E+01    .3459735E+01
   -.4566048E-01   -.6003660E+00   -.3391558E+01    .2285170E+01
   -.4927854E-01    .3168876E-01   -.5336822E+01    .2285170E+01
   -.5181480E-01    .1686430E+01   -.6539062E+01    .2285170E+01
   -.4952359E-01    .3731802E+01   -.6539062E+01    .2285170E+01
   -.3663310E-01   -.1297822E+01   -.4379179E+01    .5878738E+00
   -.4706678E-01   -.3798805E+00   -.6128170E+01    .5878738E+00
   -.5163524E-01    .1245712E+01   -.7250236E+01    .5878738E+00
   -.5288135E-01    .3206553E+01   -.7488325E+01    .5878738E+00
   -.4830356E-01    .5053437E+01   -.6787894E+01    .5878738E+00
