    6  452    0
   -.1285111E-01   -.5102260E+01    .6248466E-15    .1244167E+01
   -.1077529E-01   -.4713874E+01   -.1952550E+01    .1244167E+01
   -.5068181E-02   -.3607843E+01   -.3607843E+01    .1244167E+01
   -.5068181E-02    .3607843E+01   -.3607843E+01    .1244167E+01
   -.1077529E-01    .4713874E+01   -.1952550E+01    .1244167E+01
   -.1285111E-01    .5102260E+01    .0000000E+00   -.1244167E+01
   -.1077529E-01    .4713874E+01    .1952550E+01   -.1244167E+01
   -.5068181E-02    .3607843E+01    .3607843E+01   -.1244167E+01
   -.5068181E-02   -.3607843E+01    .3607843E+01   -.1244167E+01
   -.1077529E-01   -.4713874E+01    .1952550E+01   -.1244167E+01
   -.1285111E-01   -.5102260E+01    .6248466E-15   -.1244167E+01
   -.1077529E-01   -.4713874E+01   -.1952550E+01   -.1244167E+01
   -.5068181E-02   -.3607843E+01   -.3607843E+01   -.1244167E+01
   -.5068181E-02    .3607843E+01   -.3607843E+01   -.1244167E+01
   -.1077529E-01    .4713874E+01   -.1952550E+01   -.1244167E+01
   -.6973389E-02    .4713874E+01    .0000000E+00   -.3196718E+01
   -.4933411E-02    .4247053E+01    .2045273E+01   -.3196718E+01
   -.4933411E-02   -.4247053E+01    .2045273E+01   -.3196718E+01
   -.6973389E-02   -.4713874E+01    .5772829E-15   -.3196718E+01
   -.4933411E-02   -.4247053E+01   -.2045273E+01   -.3196718E+01
   -.4933411E-02    .4247053E+01   -.2045273E+01   -.3196718E+01
   -.1624118E-02    .3607843E+01    .0000000E+00   -.4852010E+01
   -.1033551E-02   -.3461700E+01    .1016447E+01   -.4852010E+01
   -.1033551E-02   -.3461700E+01   -.1016447E+01   -.4852010E+01
    .2312422E-02    .1952550E+01    .0000000E+00   -.5958041E+01
    .2312422E-02   -.1952550E+01    .2391184E-15   -.5958041E+01
    .3823118E-02    .6248466E-15    .0000000E+00   -.6346427E+01
    .4429306E-02    .0000000E+00    .1727794E+01    .6397796E+01
    .2998953E-02    .2040904E+01    .1727794E+01    .5850937E+01
    .5033025E-02    .1020452E+01    .3495268E+01    .5850937E+01
    .5033025E-02   -.1020452E+01    .3495268E+01    .5850937E+01
    .2998953E-02   -.2040904E+01    .1727794E+01    .5850937E+01
    .2077455E-02    .2973789E+01    .3638932E+01    .4356892E+01
    .4943788E-02    .1468471E+01    .4943297E+01    .4356892E+01
    .5581176E-02   -.5030758E+00    .5226763E+01    .4356892E+01
    .3730176E-02   -.2314900E+01    .4399330E+01    .4356892E+01
    .2273738E-03   -.3391759E+01    .2723704E+01    .4356892E+01
   -.2637500E-02    .3614262E+01    .3624705E+01    .2315988E+01
    .2429377E-02    .2318731E+01    .5087056E+01    .2315988E+01
    .4681049E-02    .4920076E+00    .5779841E+01    .2315988E+01
    .3926428E-02   -.1447429E+01    .5544351E+01    .2315988E+01
    .2200793E-03   -.3055277E+01    .4434533E+01    .2315988E+01
    .2404363E-02    .1468471E+01    .4943297E+01    .2750835E+00
