   29 1250
    -.6818938E-01   -.9930502E+01    .3875349E+01   -.2118835E+01
    -.8892943E-01   -.4564930E+01    .5505723E+01    .3880478E+01
    -.7494549E-01   -.3988284E+01    .7280457E+01    .3274157E+01
    -.6847368E-01   -.6074609E+01    .6602569E+01    .3274157E+01
    -.6465881E-01   -.4040624E+01    .8479210E+01    .1686786E+01
    -.5880038E-01   -.6074609E+01    .8120564E+01    .1686786E+01
    -.5939069E-01   -.7402199E+01    .6538404E+01    .1686786E+01
    -.6654821E-01   -.4040624E+01    .8479210E+01   -.2753116E+00
    -.6038014E-01   -.6074609E+01    .8120564E+01   -.2753116E+00
    -.6073246E-01   -.7402199E+01    .6538404E+01   -.2753116E+00
    -.8093847E-01   -.3988284E+01    .7280457E+01   -.1862682E+01
    -.7315215E-01   -.6074609E+01    .6602569E+01   -.1862682E+01
    -.9622051E-01    .1879145E+01    .5900226E+01    .3179984E+01
    -.7965120E-01    .5897249E+00    .7674960E+01    .3179984E+01
    -.8590190E-01   -.1496600E+01    .6997072E+01    .3179984E+01
    -.7851825E-01    .2326041E+01    .7841032E+01    .1592614E+01
    -.6952995E-01    .5373848E+00    .8873713E+01    .1592614E+01
    -.7019673E-01   -.1496600E+01    .8515067E+01    .1592614E+01
    -.7837932E-01    .2326041E+01    .7841032E+01   -.3694842E+00
    -.7038191E-01    .5373848E+00    .8873713E+01   -.3694842E+00
    -.7211837E-01   -.1496600E+01    .8515067E+01   -.3694842E+00
    -.8176189E-01    .5897249E+00    .7674960E+01   -.1956855E+01
    -.1004886E+00    .3110390E+01    .5759202E+01    .2011285E+01
    -.1750691E+00    .6660380E+01   -.2870403E+01   -.3112760E+01
    -.1465671E+00    .1077581E+02   -.5768188E+00    .3085848E+00
    -.1146255E+00    .1185305E+02    .1281233E+01   -.1675628E+01
    -.1095214E+00    .1139849E+02    .3125453E+01   -.1675628E+01
    -.1250142E+00    .6892520E+01   -.4371461E+00   -.5112386E+01
    -.1893508E+00    .2159950E+01   -.3037669E+01    .2658485E+01
    -.1911265E+00    .8971362E+01   -.3913643E+01    .6742715E+00
    -.1793526E+00    .8348680E+01   -.3927475E+01   -.1309942E+01
    -.2167984E+00    .3187106E+01   -.5190559E+01    .3027741E+01
    -.2315553E+00    .5257629E+01   -.5863313E+01    .3027741E+01
    -.2006209E+00    .2090315E+01   -.5987425E+01    .1672032E+01
    -.2090361E+00    .3694135E+01   -.7152668E+01    .1672032E+01
    -.2158975E+00    .5676566E+01   -.7152668E+01    .1672032E+01
    -.2220320E+00    .7280387E+01   -.5987425E+01    .1672032E+01
    -.1872729E+00    .1477710E+01   -.5953953E+01   -.1799001E+00
    -.1963675E+00    .2833419E+01   -.7309661E+01   -.1799001E+00
    -.2018876E+00    .4685351E+01   -.7805885E+01   -.1799001E+00
    -.2053060E+00    .6537283E+01   -.7309661E+01   -.1799001E+00
    -.2042103E+00    .7892992E+01   -.5953953E+01   -.1799001E+00
    -.1845695E+00    .7892992E+01   -.4102021E+01   -.2031832E+01
    -.1888290E+00    .2090315E+01   -.5987425E+01   -.2031832E+01
    -.1939600E+00    .3694135E+01   -.7152668E+01   -.2031832E+01
    -.1971307E+00    .5676566E+01   -.7152668E+01   -.2031832E+01
    -.1962467E+00    .7280387E+01   -.5987425E+01   -.2031832E+01
    -.1886606E+00    .6537283E+01   -.4102021E+01   -.3387541E+01
    -.1928501E+00    .3187106E+01   -.5190559E+01   -.3387541E+01
    -.1948340E+00    .5257629E+01   -.5863313E+01   -.3387541E+01
    -.1921655E+00    .4685351E+01   -.4102021E+01   -.3883765E+01
    -.2010367E+00    .6398197E+01   -.1602800E+01    .6457922E+01
    -.1990220E+00    .8250130E+01   -.1602800E+01    .5961698E+01
    -.1954531E+00    .6970476E+01    .1584921E+00    .5961698E+01
    -.1985678E+00    .4899953E+01   -.5142617E+00    .5961698E+01
    -.2082056E+00    .4899953E+01   -.2691339E+01    .5961698E+01
    -.2090445E+00    .6970476E+01   -.3364092E+01    .5961698E+01
    -.1979829E+00    .9605838E+01   -.1602800E+01    .4605990E+01
    -.1941669E+00    .8993233E+01    .2826038E+00    .4605990E+01
    -.1921079E+00    .7389413E+01    .1447848E+01    .4605990E+01
    -.1917771E+00    .3803161E+01    .2826038E+00    .4605990E+01
    -.2009762E+00    .3190557E+01   -.1602800E+01    .4605990E+01
    -.2156037E+00    .3803161E+01   -.3488204E+01    .4605990E+01
    -.2251038E+00    .5406982E+01   -.4653448E+01    .4605990E+01
    -.2185199E+00    .7389413E+01   -.4653448E+01    .4605990E+01
    -.2066528E+00    .8993233E+01   -.3488204E+01    .4605990E+01
    -.1955829E+00    .1010206E+02   -.1602800E+01    .2754058E+01
    -.1898285E+00    .9605838E+01    .2491321E+00    .2754058E+01
    -.2196504E+00    .8250130E+01   -.4810441E+01    .2754058E+01
    -.2036608E+00    .9605838E+01   -.3454732E+01    .2754058E+01
    -.1853031E+00    .9605838E+01   -.1602800E+01    .9021254E+00
    -.1314563E+00    .1553107E+01    .6635194E+00   -.3874020E+01
    -.1372511E+00    .1553107E+01   -.1401843E+01   -.3874020E+01
    -.1643706E+00    .2880697E+01   -.2984003E+01   -.3874020E+01
    -.1844720E+00    .4914682E+01   -.3342649E+01   -.3874020E+01
    -.1517825E+00    .6703338E+01   -.2309968E+01   -.3874020E+01
    -.1223995E+00    .6256442E+01   -.3691619E+00   -.5461391E+01
    -.1156495E+00    .4967022E+01    .1405572E+01   -.5461391E+01
    -.1161429E+00    .2880697E+01    .7276841E+00   -.5461391E+01
    -.1245995E+00    .2880697E+01   -.1466008E+01   -.5461391E+01
    -.1320625E+00    .4967022E+01   -.2143896E+01   -.5461391E+01
    -.1157734E+00    .4390376E+01   -.3691619E+00   -.6067713E+01
    -.1653636E+00    .9645152E+01   -.1957819E+01    .7248907E-01
    -.1154127E+00    .1208786E+02   -.1830843E+00   -.1514881E+01
    -.1469036E+00    .9592812E+01   -.3156572E+01   -.1514881E+01
    -.1233772E+00    .1138147E+02   -.2123890E+01   -.1514881E+01
    -.1029267E+00    .1208786E+02   -.1830843E+00   -.3476979E+01
    -.1518228E+00    .7558827E+01   -.2797925E+01   -.3476979E+01
    -.1264320E+00    .9592812E+01   -.3156572E+01   -.3476979E+01
    -.1079994E+00    .1138147E+02   -.2123890E+01   -.3476979E+01
    -.1015241E+00    .1093457E+02   -.1830843E+00   -.5064350E+01
    -.1248838E+00    .7558827E+01   -.1279930E+01   -.5064350E+01
    -.1103837E+00    .9645152E+01   -.1957819E+01   -.5064350E+01
    -.1095851E+00    .9068506E+01   -.1830843E+00   -.5670671E+01
    -.1635310E+00    .8774043E+01    .1900774E+01    .3237081E+01
    -.1307786E+00    .1064011E+02    .1900774E+01    .2630760E+01
    -.1191556E+00    .9350689E+01    .3675508E+01    .2630760E+01
    -.1156932E+00    .1179340E+02    .1900774E+01    .1043389E+01
    -.1055021E+00    .1108701E+02    .3841580E+01    .1043389E+01
    -.1075773E+00    .9298349E+01    .4874262E+01    .1043389E+01
    -.1187805E+00    .7264364E+01    .4515615E+01    .1043389E+01
    -.1427163E+00    .1108701E+02   -.4003186E-01    .1043389E+01
    -.1146434E+00    .1179340E+02    .1900774E+01   -.9187087E+00
    -.1076492E+00    .1108701E+02    .3841580E+01   -.9187087E+00
    -.1042911E+00    .1014883E+02    .4804116E+01   -.2013877E+01
    -.9992151E-01    .8360176E+01    .5836798E+01   -.2013877E+01
    -.1046020E+00    .1085523E+02    .2863310E+01   -.3975975E+01
    -.9405973E-01    .1014883E+02    .4804116E+01   -.3975975E+01
    -.9041629E-01    .8360176E+01    .5836798E+01   -.3975975E+01
    -.9495022E-01    .6326190E+01    .5478151E+01   -.3975975E+01
    -.1079116E+00    .4998601E+01    .3895992E+01   -.3975975E+01
    -.9866221E-01    .9701935E+01    .2863310E+01   -.5563345E+01
    -.9012450E-01    .8412516E+01    .4638045E+01   -.5563345E+01
    -.9758344E-01    .6326190E+01    .3960156E+01   -.5563345E+01
    -.1128845E+00    .6326190E+01    .1766464E+01   -.5563345E+01
    -.9884389E-01    .7835869E+01    .2863310E+01   -.6169667E+01
    -.1350398E+00    .4242550E+01    .2648473E+01    .5129654E+01
    -.1507502E+00    .6108616E+01    .2648473E+01    .4523332E+01
    -.1130833E+00    .4819196E+01    .4423207E+01    .4523332E+01
    -.1160646E+00    .2732871E+01    .3745319E+01    .4523332E+01
    -.1453662E+00    .2732871E+01    .1551627E+01    .4523332E+01
    -.1558036E+00    .7261908E+01    .2648473E+01    .2935962E+01
    -.1175874E+00    .6555513E+01    .4589279E+01    .2935962E+01
    -.1056251E+00    .4766856E+01    .5621960E+01    .2935962E+01
    -.1035329E+00    .2732871E+01    .5263314E+01    .2935962E+01
    -.1060698E+00    .4516679E+01    .5899411E+01    .1590183E+01
    -.1034763E+00    .6252996E+01    .6065483E+01    .2812954E-02
    -.9169215E-01    .4464339E+01    .7098164E+01    .2812954E-02
    -.9796887E-01    .6252996E+01    .6065483E+01   -.1959285E+01
    -.8784216E-01    .4464339E+01    .7098164E+01   -.1959285E+01
